Question,App,Ground Truth,Our RAG System
Q3,1501731777,Yes,Yes
Q3,1503638078,Yes,Yes
Q3,1505323328,Yes,Yes
Q3,1511247522,Yes,Yes
Q3,1513257639,Yes,Yes
Q3,1517360968,Yes,Yes
Q3,1518205206,Yes,Yes
Q3,1518619206,Yes,Yes
Q3,1519041530,Yes,Yes
Q3,1519501105,Yes,Yes
Q3,1521793590,Yes,Yes
Q3,1523646875,Yes,Yes
Q3,1523689201,Yes,Yes
Q3,1524333909,Yes,Yes
Q3,1525390977,Yes,Yes
Q3,1534494364,Yes,Yes
Q3,1534773757,Yes,Yes
Q3,1536846201,Yes,Yes
Q3,1539285742,Yes,Yes
Q3,1539382364,Yes,Yes
Q3,1547099008,Yes,Yes
Q3,1547157572,Yes,Yes
Q3,1547374655,Yes,Yes
Q3,1549845703,Yes,Yes
Q3,1551123268,Yes,Yes
Q3,1552340992,Yes,Yes
Q3,1553723926,Yes,Yes
Q3,1563184080,Yes,Yes
Q3,1564740564,Yes,Yes
Q3,1565696391,Yes,Yes
Q3,1569749201,Yes,Yes
Q3,1575168306,Yes,Yes
Q3,1575579611,Yes,Yes
Q3,1576425396,Yes,Yes
Q3,1576666232,Yes,Yes
Q3,1580242680,Yes,Yes
Q3,1580933137,Yes,Yes
Q3,1582815027,Yes,Yes
Q3,1584145241,Yes,Yes
Q3,1588978095,Yes,Yes
Q3,1589038446,Yes,Yes
Q3,1593075782,Yes,Yes
Q3,1599626050,Yes,Yes
Q3,1600102496,Yes,Yes
Q3,1601915333,Yes,Yes
Q3,1603796306,Yes,Yes
Q3,1606376184,Yes,Yes
Q3,1606688885,Yes,Yes
Q3,1607980507,Yes,Yes
Q3,1608367638,Yes,Yes
Q3,1613079261,Yes,Yes
Q3,1620941994,Yes,Yes
Q3,1624198363,Yes,Yes
Q3,1627653934,Yes,Yes
Q3,1634039293,Yes,Yes
Q3,1635699582,Yes,Yes
Q3,1639682531,Yes,Yes
Q3,1644747151,Yes,Yes
Q3,1645536385,Yes,Yes
Q3,1658145102,Yes,No
Q3,1660935129,Yes,Yes
Q3,1665348316,Yes,Yes
Q3,1666827532,Yes,Yes
Q3,1667268266,Yes,Yes
Q3,1669683359,Yes,Yes
Q3,1671328374,Yes,Yes
Q3,1671440901,Yes,Yes
Q3,1671855767,Yes,Yes
Q3,354065335,Yes,Yes
Q3,406042878,Yes,Yes
Q3,526047934,Yes,Yes
Q3,528285610,Yes,Yes
Q3,6443576801,Yes,Yes
Q3,6443679619,Yes,Yes
Q3,6443794589,Yes,Yes
Q3,6444038155,Yes,Yes
Q3,6444067591,No,No
Q3,6444658101,Yes,Yes
Q3,6444764148,Yes,Yes
Q3,6446163219,Yes,Yes
Q3,6446167323,Yes,Yes
Q3,6446434968,Yes,Yes
Q3,6446494726,Yes,Yes
Q3,6446916960,Yes,Yes
Q3,6447015739,Yes,Yes
Q3,6447095050,Yes,Yes
Q3,6447270302,Yes,Yes
Q3,6447466531,Yes,Yes
Q3,6448851631,Yes,Yes
Q3,6449004236,Yes,Yes
Q3,6450326411,Yes,Yes
Q3,6450531859,Yes,Yes
Q3,6450597254,Yes,Yes
Q3,6450800619,Yes,Yes
Q3,6450861283,Yes,Yes
Q3,6450941099,Yes,Yes
Q3,6451497403,Yes,Yes
Q3,6454837552,Yes,Yes
Q3,6456222443,Yes,No
Q3,6458192502,Yes,Yes
Q3,6462189608,Yes,Yes
Q3,6463510886,Yes,Yes
Q3,6464433358,Yes,Yes
Q3,6465690765,Yes,Yes
Q3,6466439617,Yes,Yes
Q3,6466716476,Yes,Yes
Q3,6466904931,Yes,Yes
Q3,6467943003,Yes,Yes
Q3,6468129359,Yes,Yes
Q3,6469035694,Yes,Yes
Q3,6470471214,Yes,Yes
Q3,6471280965,Yes,Yes
Q3,6471412523,Yes,Yes
Q3,6472111765,Yes,Yes
Q3,6472705015,Yes,Yes
Q3,6473184318,Yes,Yes
Q3,6473197423,Yes,Yes
Q3,6473814624,Yes,Yes
Q3,6473851170,No,Yes
Q3,6473900916,Yes,Yes
Q3,6474006415,Yes,Yes
Q3,6474216442,Yes,Yes
Q3,6474274341,Yes,Yes
Q3,6475274936,Yes,Yes
Q3,6475366694,Yes,Yes
Q3,6475717895,Yes,Yes
Q3,6475880853,Yes,Yes
Q3,6476157808,Yes,Yes
Q3,6476430669,Yes,Yes
Q3,6476922373,Yes,Yes
Q3,6478505634,Yes,Yes
Q3,6478638483,Yes,Yes
Q3,6478650062,Yes,Yes
Q3,6479717383,Yes,Yes
Q3,6479997748,Yes,Yes
Q3,6480014609,Yes,Yes
Q3,6480124934,Yes,Yes
Q3,6480434888,Yes,Yes
Q3,6483863173,Yes,Yes
Q3,6502472827,Yes,Yes
Q3,6502622339,Yes,Yes
Q3,6502851494,Yes,Yes
Q3,6502899871,Yes,Yes
Q3,6503365371,Yes,Yes
Q3,6504136646,Yes,Yes
Q3,6504195526,Yes,Yes
Q3,6504493957,Yes,Yes
Q3,6504496581,Yes,Yes
Q3,659065074,Yes,No
Q3,687283022,Yes,Yes
Q3,806223188,Yes,Yes
Q3,869648628,Yes,Yes
Q3,903930751,Yes,Yes
Q3,913335252,Yes,Yes
Q3,948111146,Yes,Yes
Q3,966098074,Yes,Yes
Q3,985365789,Yes,Yes
Q4,1019230398,Yes,Yes
Q4,1063248233,Yes,Yes
Q4,1112006222,Yes,Yes
Q4,1155742410,Yes,Yes
Q4,1157882317,No,Yes
Q4,1158555867,Yes,Yes
Q4,1193006281,Yes,Yes
Q4,1212999482,Yes,Yes
Q4,1218240628,Yes,Yes
Q4,1234966740,Yes,Yes
Q4,1236566346,Yes,Yes
Q4,1273620738,Yes,Yes
Q4,1276818064,No,Yes
Q4,1289018369,Yes,Yes
Q4,1291472331,Yes,Yes
Q4,1300107718,Yes,Yes
Q4,1312926037,Yes,Yes
Q4,1321563535,Yes,Yes
Q4,1332580637,Yes,Yes
Q4,1361356590,Yes,Yes
Q4,1373639965,Yes,Yes
Q4,1387949872,Yes,Yes
Q4,1396647655,Yes,Yes
Q4,1412024302,Yes,Yes
Q4,1421810571,Yes,Yes
Q4,1435692352,No,Yes
Q4,1436471710,Yes,Yes
Q4,1441112707,Yes,Yes
Q4,1444463273,Yes,Yes
Q4,1453180679,Yes,Yes
Q4,1458156758,Yes,Yes
Q4,1458846512,Yes,Yes
Q4,1460599496,Yes,Yes
Q4,1463607627,Yes,Yes
Q4,1465984722,Yes,Yes
Q4,1478859313,Yes,Yes
Q4,1485424497,Yes,Yes
Q4,1489944782,Yes,Yes
Q4,1490281801,Yes,Yes
Q4,1490544446,Yes,Yes
Q4,1491792162,Yes,Yes
Q4,1492803107,Yes,Yes
Q4,1493155192,Yes,Yes
Q4,1494699802,No,Yes
Q4,1498229813,Yes,Yes
Q4,1498350923,No,Yes
Q4,1499411785,Yes,Yes
Q4,1500085577,Yes,Yes
Q4,1501731777,No,Yes
Q4,1503638078,Yes,Yes
Q4,1505323328,Yes,Yes
Q4,1511247522,No,Yes
Q4,1513257639,Yes,Yes
Q4,1517360968,Yes,Yes
Q4,1518205206,Yes,Yes
Q4,1518619206,Yes,Yes
Q4,1519041530,Yes,Yes
Q4,1519501105,No,Yes
Q4,1521793590,Yes,Yes
Q4,1523646875,Yes,Yes
Q4,1523689201,No,Yes
Q4,1524333909,Yes,Yes
Q4,1525390977,Yes,Yes
Q4,1534494364,No,No
Q4,1534773757,Yes,Yes
Q4,1536846201,Yes,Yes
Q4,1539285742,Yes,Yes
Q4,1539382364,Yes,Yes
Q4,1547099008,Yes,Yes
Q4,1547157572,Yes,Yes
Q4,1547374655,Yes,Yes
Q4,1549845703,Yes,Yes
Q4,1551123268,Yes,Yes
Q4,1552340992,Yes,Yes
Q4,1553723926,Yes,Yes
Q4,1563184080,Yes,Yes
Q4,1564740564,Yes,No
Q4,1565696391,No,Yes
Q4,1569749201,Yes,Yes
Q4,1575168306,Yes,Yes
Q4,1575579611,Yes,Yes
Q4,1576425396,Yes,Yes
Q4,1576666232,Yes,Yes
Q4,1580242680,No,Yes
Q4,1580933137,Yes,Yes
Q4,1582815027,Yes,Yes
Q4,1584145241,Yes,Yes
Q4,1588978095,Yes,Yes
Q4,1589038446,Yes,Yes
Q4,1593075782,Yes,Yes
Q4,1599626050,No,Yes
Q4,1600102496,Yes,Yes
Q4,1601915333,Yes,Yes
Q4,1603796306,Yes,Yes
Q4,1606376184,Yes,Yes
Q4,1606688885,Yes,Yes
Q4,1607980507,Yes,Yes
Q4,1608367638,Yes,Yes
Q4,1613079261,Yes,Yes
Q4,1620941994,Yes,Yes
Q4,1624198363,Yes,Yes
Q4,1627653934,Yes,Yes
Q4,1634039293,Yes,No
Q4,1635699582,Yes,Yes
Q4,1639682531,Yes,Yes
Q4,1644747151,Yes,Yes
Q4,1645536385,Yes,Yes
Q4,1658145102,No,Yes
Q4,1660935129,Yes,Yes
Q4,1665348316,Yes,Yes
Q4,1666827532,Yes,Yes
Q4,1667268266,Yes,Yes
Q4,1669683359,Yes,Yes
Q4,1671328374,Yes,Yes
Q4,1671440901,Yes,Yes
Q4,1671855767,Yes,Yes
Q4,354065335,Yes,Yes
Q4,406042878,Yes,Yes
Q4,526047934,Yes,Yes
Q4,528285610,Yes,Yes
Q4,6443576801,Yes,Yes
Q4,6443679619,Yes,Yes
Q4,6443794589,Yes,Yes
Q4,6444038155,Yes,Yes
Q4,6444067591,Yes,No
Q4,6444658101,Yes,Yes
Q4,6444764148,Yes,Yes
Q4,6446163219,Yes,Yes
Q4,6446167323,No,No
Q4,6446434968,Yes,Yes
Q4,6446494726,Yes,Yes
Q4,6446916960,Yes,Yes
Q4,6447015739,Yes,Yes
Q4,6447095050,Yes,Yes
Q4,6447270302,Yes,Yes
Q4,6447466531,Yes,Yes
Q4,6448851631,Yes,Yes
Q4,6449004236,Yes,Yes
Q4,6450326411,Yes,Yes
Q4,6450531859,Yes,Yes
Q4,6450597254,No,Yes
Q4,6450800619,No,Yes
Q4,6450861283,No,No
Q4,6450941099,Yes,Yes
Q4,6451497403,Yes,Yes
Q4,6454837552,Yes,Yes
Q4,6456222443,Yes,Yes
Q4,6458192502,Yes,Yes
Q4,6462189608,Yes,Yes
Q4,6463510886,Yes,Yes
Q4,6464433358,Yes,Yes
Q4,6465690765,Yes,Yes
Q4,6466439617,Yes,Yes
Q4,6466716476,Yes,No
Q4,6466904931,Yes,Yes
Q4,6467943003,Yes,Yes
Q4,6468129359,Yes,Yes
Q4,6469035694,Yes,Yes
Q4,6470471214,Yes,Yes
Q4,6471280965,Yes,Yes
Q4,6471412523,Yes,Yes
Q4,6472111765,Yes,Yes
Q4,6472705015,Yes,Yes
Q4,6473184318,Yes,Yes
Q4,6473197423,Yes,Yes
Q4,6473814624,Yes,Yes
Q4,6473851170,No,Yes
Q4,6473900916,Yes,Yes
Q4,6474006415,Yes,Yes
Q4,6474216442,Yes,Yes
Q4,6474274341,Yes,Yes
Q4,6475274936,Yes,Yes
Q4,6475366694,Yes,Yes
Q4,6475717895,Yes,Yes
Q4,6475880853,Yes,Yes
Q4,6476157808,Yes,Yes
Q4,6476430669,Yes,Yes
Q4,6476922373,Yes,No
Q4,6478505634,Yes,Yes
Q4,6478638483,Yes,Yes
Q4,6478650062,Yes,Yes
Q4,6479717383,Yes,Yes
Q4,6479997748,Yes,Yes
Q4,6480014609,Yes,Yes
Q4,6480124934,Yes,Yes
Q4,6480434888,Yes,Yes
Q4,6483863173,Yes,Yes
Q4,6502472827,Yes,Yes
Q4,6502622339,Yes,Yes
Q4,6502851494,Yes,Yes
Q4,6502899871,No,Yes
Q4,6503365371,Yes,Yes
Q4,6504136646,Yes,Yes
Q4,6504195526,No,Yes
Q4,6504493957,Yes,Yes
Q4,6504496581,Yes,Yes
Q4,659065074,No,Yes
Q4,687283022,Yes,Yes
Q4,806223188,Yes,Yes
Q4,869648628,Yes,Yes
Q4,903930751,Yes,Yes
Q4,913335252,Yes,Yes
Q4,948111146,Yes,Yes
Q4,966098074,Yes,No
Q4,985365789,Yes,Yes
Q5,1019230398,Yes,Yes
Q5,1063248233,Yes,Yes
Q5,1112006222,Yes,Yes
Q5,1155742410,Yes,Yes
Q5,1157882317,No,No
Q5,1158555867,Yes,Yes
Q5,1193006281,Yes,Yes
Q5,1212999482,Yes,Yes
Q5,1218240628,Yes,Yes
Q5,1234966740,Yes,Yes
Q5,1236566346,Yes,Yes
Q5,1273620738,Yes,Yes
Q5,1276818064,Yes,Yes
Q5,1289018369,Yes,Yes
Q5,1291472331,Yes,Yes
Q5,1300107718,Yes,Yes
Q5,1312926037,Yes,Yes
Q5,1321563535,Yes,Yes
Q5,1332580637,Yes,Yes
Q5,1361356590,Yes,Yes
Q5,1373639965,Yes,No
Q5,1387949872,Yes,Yes
Q5,1396647655,Yes,Yes
Q5,1412024302,Yes,Yes
Q5,1421810571,Yes,Yes
Q5,1435692352,No,No
Q5,1436471710,Yes,No
Q5,1441112707,Yes,Yes
Q5,1444463273,Yes,Yes
Q5,1453180679,Yes,Yes
Q5,1458156758,Yes,Yes
Q5,1458846512,Yes,Yes
Q5,1460599496,Yes,Yes
Q5,1463607627,Yes,Yes
Q5,1465984722,Yes,Yes
Q5,1478859313,Yes,Yes
Q5,1485424497,Yes,Yes
Q5,1489944782,Yes,Yes
Q5,1490281801,Yes,No
Q5,1490544446,Yes,Yes
Q5,1491792162,No,Yes
Q5,1492803107,Yes,Yes
Q5,1493155192,Yes,Yes
Q5,1494699802,Yes,Yes
Q5,1498229813,Yes,Yes
Q5,1498350923,No,No
Q5,1499411785,Yes,No
Q5,1500085577,Yes,Yes
Q5,1501731777,Yes,Yes
Q5,1503638078,Yes,Yes
Q5,1505323328,Yes,No
Q5,1511247522,No,No
Q5,1513257639,Yes,No
Q5,1517360968,Yes,Yes
Q5,1518205206,Yes,Yes
Q5,1518619206,Yes,Yes
Q5,1519041530,Yes,Yes
Q5,1519501105,Yes,Yes
Q5,1521793590,Yes,No
Q5,1523646875,Yes,No
Q5,1523689201,Yes,Yes
Q5,1524333909,Yes,Yes
Q5,1525390977,Yes,Yes
Q5,1534494364,Yes,Yes
Q5,1534773757,Yes,Yes
Q5,1536846201,Yes,No
Q5,1539285742,Yes,Yes
Q5,1539382364,Yes,Yes
Q5,1547099008,Yes,Yes
Q5,1547157572,Yes,Yes
Q5,1547374655,Yes,Yes
Q5,1549845703,Yes,Yes
Q5,1551123268,No,No
Q5,1552340992,Yes,Yes
Q5,1553723926,Yes,Yes
Q5,1563184080,Yes,Yes
Q5,1564740564,Yes,No
Q5,1565696391,Yes,Yes
Q5,1569749201,Yes,Yes
Q5,1575168306,Yes,Yes
Q5,1575579611,Yes,Yes
Q5,1576425396,Yes,Yes
Q5,1576666232,Yes,No
Q5,1580242680,Yes,Yes
Q5,1580933137,Yes,Yes
Q5,1582815027,Yes,Yes
Q5,1584145241,Yes,Yes
Q5,1588978095,Yes,Yes
Q5,1589038446,No,No
Q5,1593075782,Yes,Yes
Q5,1599626050,Yes,Yes
Q5,1600102496,Yes,Yes
Q5,1601915333,Yes,Yes
Q5,1603796306,Yes,Yes
Q5,1606376184,Yes,Yes
Q5,1606688885,Yes,Yes
Q5,1607980507,Yes,Yes
Q5,1608367638,Yes,Yes
Q5,1613079261,Yes,No
Q5,1620941994,Yes,Yes
Q5,1624198363,Yes,Yes
Q5,1627653934,Yes,Yes
Q5,1634039293,Yes,Yes
Q5,1635699582,Yes,No
Q5,1639682531,Yes,No
Q5,1644747151,Yes,Yes
Q5,1645536385,Yes,No
Q5,1658145102,Yes,No
Q5,1660935129,Yes,Yes
Q5,1665348316,Yes,No
Q5,1666827532,Yes,Yes
Q5,1667268266,Yes,No
Q5,1669683359,Yes,Yes
Q5,1671328374,Yes,Yes
Q5,1671440901,Yes,Yes
Q5,1671855767,Yes,Yes
Q5,354065335,Yes,Yes
Q5,406042878,Yes,Yes
Q5,526047934,Yes,Yes
Q5,528285610,Yes,Yes
Q5,6443576801,Yes,Yes
Q5,6443679619,Yes,Yes
Q5,6443794589,Yes,Yes
Q5,6444038155,Yes,Yes
Q5,6444067591,No,No
Q5,6444658101,Yes,Yes
Q5,6444764148,No,Yes
Q5,6446163219,Yes,Yes
Q5,6446167323,No,No
Q5,6446434968,Yes,Yes
Q5,6446494726,Yes,Yes
Q5,6446916960,Yes,Yes
Q5,6447015739,Yes,Yes
Q5,6447095050,Yes,Yes
Q5,6447270302,No,Yes
Q5,6447466531,Yes,Yes
Q5,6448851631,Yes,Yes
Q5,6449004236,Yes,Yes
Q5,6450326411,Yes,Yes
Q5,6450531859,Yes,Yes
Q5,6450597254,Yes,Yes
Q5,6450800619,Yes,Yes
Q5,6450861283,Yes,No
Q5,6450941099,Yes,Yes
Q5,6451497403,Yes,Yes
Q5,6454837552,Yes,No
Q5,6456222443,Yes,Yes
Q5,6458192502,Yes,Yes
Q5,6462189608,Yes,Yes
Q5,6463510886,Yes,Yes
Q5,6464433358,Yes,Yes
Q5,6465690765,Yes,Yes
Q5,6466439617,No,No
Q5,6466716476,Yes,Yes
Q5,6466904931,Yes,Yes
Q5,6467943003,Yes,Yes
Q5,6468129359,No,No
Q5,6469035694,Yes,Yes
Q5,6470471214,Yes,Yes
Q5,6471280965,Yes,Yes
Q5,6471412523,Yes,Yes
Q5,6472111765,Yes,Yes
Q5,6472705015,Yes,Yes
Q5,6473184318,Yes,No
Q5,6473197423,Yes,Yes
Q5,6473814624,Yes,No
Q5,6473851170,No,No
Q5,6473900916,Yes,No
Q5,6474006415,Yes,Yes
Q5,6474216442,Yes,Yes
Q5,6474274341,Yes,Yes
Q5,6475274936,Yes,No
Q5,6475366694,Yes,Yes
Q5,6475717895,Yes,Yes
Q5,6475880853,Yes,Yes
Q5,6476157808,Yes,Yes
Q5,6476430669,Yes,Yes
Q5,6476922373,Yes,Yes
Q5,6478505634,Yes,Yes
Q5,6478638483,Yes,No
Q5,6478650062,Yes,Yes
Q5,6479717383,Yes,Yes
Q5,6479997748,Yes,Yes
Q5,6480014609,Yes,Yes
Q5,6480124934,Yes,Yes
Q5,6480434888,Yes,Yes
Q5,6483863173,Yes,Yes
Q5,6502472827,Yes,Yes
Q5,6502622339,Yes,Yes
Q5,6502851494,Yes,Yes
Q5,6502899871,Yes,No
Q5,6503365371,Yes,Yes
Q5,6504136646,Yes,Yes
Q5,6504195526,Yes,Yes
Q5,6504493957,No,No
Q5,6504496581,Yes,Yes
Q5,659065074,No,No
Q5,687283022,Yes,Yes
Q5,806223188,Yes,Yes
Q5,869648628,Yes,Yes
Q5,903930751,Yes,Yes
Q5,913335252,Yes,Yes
Q5,948111146,Yes,No
Q5,966098074,Yes,No
Q5,985365789,Yes,Yes
